stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
267865,str-la. Studentilor,47.062267,28.850130,,,,,,,,,,
268661,Str-la. Studentilor,47.062260,28.848795,,,,,,,,,,
272204,str. Nichita Stanescu,46.974530,28.863647,,,,,,,,,,
280924752,str. Studenților,47.058464,28.867506,,,,,,,,,,
281626,str. Ismail 88,47.017944,28.849310,,,,,,,,,,
281627,Rascrucea Spre Bacioi,46.950070,28.914380,,,,,,,,,,
281628,str. Bacioii Noi,46.953587,28.922947,,,,,,,,,,
281629,str. Bacioii Noi,46.952984,28.920893,,,,,,,,,,
281630,Revaca,46.951637,28.929518,,,,,,,,,,
281631,Revaca,46.951990,28.929512,,,,,,,,,,
281632,Autoservice,46.945724,28.935493,,,,,,,,,,
281633,Autoservice,46.946040,28.935333,,,,,,,,,,
281634,Scoala Profesionala Nr.4,46.941360,28.943096,,,,,,,,,,
281635,Scoala Profesionala Nr.4,46.941856,28.942602,,,,,,,,,,
281636,str. Muncesti 810,46.936504,28.951351,,,,,,,,,,
281637,Cartierul Codru,46.939236,28.946722,,,,,,,,,,
281638,str. Muncesti 810,46.936730,28.951458,,,,,,,,,,
281712,str. Bucuresti,47.012093,28.842503,,,,,,,,,,
281713,str. Muncesti,46.982050,28.902792,,,,,,,,,,
281714,str. Muncesti,46.981360,28.901747,,,,,,,,,,
281715,Colegiul Tehnic al UTM,47.010937,28.889086,,,,,,,,,,
281716,str. Mihail Sadoveanu,47.044838,28.881887,,,,,,,,,,
281717,str Petru Zadnipru,47.044037,28.882542,,,,,,,,,,
312312334,str. Maria Dragan,47.021027,28.882904,,,,,,,,,,
312312339,str. Maria Dragan,47.021133,28.883167,,,,,,,,,,
319700,str. N. Dimo,47.058970,28.873405,,,,,,,,,,
319704,Piața Eroilor,47.038204,28.862516,,,,,,,,,,
321122221,str. Fauresti,47.021840,28.883099,,,,,,,,,,
321122222,str. Petrodava,47.025430,28.883470,,,,,,,,,,
321122223,str. Ciocana,47.019695,28.882845,,,,,,,,,,
321122226,str. Școala profesională nr.7,47.029507,28.884008,,,,,,,,,,
321122250,str. Petrodava,47.025223,28.883650,,,,,,,,,,
321122251,str. Fauresti,47.021854,28.883250,,,,,,,,,,
321122252,str. Ciocana,47.019672,28.882973,,,,,,,,,,
325004921,Grenoble,46.990814,28.822105,,,,,,,,,,
325004923,str. Miorița,46.992570,28.818530,,,,,,,,,,
325004929,str. Miorița,46.996970,28.808968,,,,,,,,,,
325004932,Campusul Academic,46.993720,28.815010,,,,,,,,,,
325004934,Colegiul de Construcții,46.993176,28.820139,,,,,,,,,,
325004940,str. V. Korolenko,46.998016,28.820390,,,,,,,,,,
325004946,str. Gh. Asachi,47.001118,28.821981,,,,,,,,,,
325004949,str. Gh. Tudor,47.003520,28.824314,,,,,,,,,,
325004954,Piaţa Pan Halippa,47.008926,28.827822,,,,,,,,,,
325004957,Piaţa Pan Halippa,47.008457,28.827309,,,,,,,,,,
325004979,Universitatea de Stat,47.018364,28.823015,,,,,,,,,,
325004984,str. Mihail Kogalniceanu,47.019010,28.827368,,,,,,,,,,
325004987,Casa Presei,47.021320,28.830680,,,,,,,,,,
325004990,str. 31 August 1989,47.022510,28.829546,,,,,,,,,,
325004996,str. București,47.022175,28.825974,,,,,,,,,,
325004999,Bd. Ștefan cel Mare și Sfânt,47.024350,28.834955,,,,,,,,,,
325005015,Cinematograful „Patria”,47.026386,28.829697,,,,,,,,,,
325005020,Universitatea Tehnică,47.031227,28.822746,,,,,,,,,,
325005035,Universitatea de Stat de Medicină și Farmacie,47.034390,28.817986,,,,,,,,,,
325005039,Universitatea Pedagogică de Stat „Ion Creangă“,47.037150,28.812190,,,,,,,,,,
325005042,Universitatea Pedagogică de Stat „Ion Creangă“,47.037100,28.811695,,,,,,,,,,
325005049,Piaţa Dimitrie Cantemir,47.038177,28.809948,,,,,,,,,,
325005059,Piața Unirii Principatelor,47.027992,28.791079,,,,,,,,,,
325005062,Piaţa Unirii Principatelor,47.028720,28.789156,,,,,,,,,,
325005065,str. Doina și Ion Aldea-Teodorovici,47.028294,28.796206,,,,,,,,,,
325005073,str. Ion Creangă,47.028160,28.796343,,,,,,,,,,
325005077,Vasile Lupu,47.021830,28.804913,,,,,,,,,,
325005081,str. Ștefan Neaga,47.032555,28.805235,,,,,,,,,,
325005084,str. Ștefan Neaga,47.032430,28.805424,,,,,,,,,,
325005089,str. Eugen Coca,47.022297,28.808767,,,,,,,,,,
325005092,str. Armenească,47.020203,28.839222,,,,,,,,,,
325005105,Gara Feroviara,47.011080,28.858204,,,,,,,,,,
325005107,Gara Feroviara,47.011130,28.858677,,,,,,,,,,
325005110,str. N. Titulescu,46.999950,28.859810,,,,,,,,,,
325005112,str. N. Titulescu,47.000740,28.860176,,,,,,,,,,
325005114,Piața Decebal,46.996910,28.859467,,,,,,,,,,
325005116,str. Zelinski,46.992420,28.858814,,,,,,,,,,
325005118,str. Zelinski,46.993767,28.859396,,,,,,,,,,
325005120,str. Sarmizegetusa,46.993263,28.865194,,,,,,,,,,
325005123,bd. Decebal,46.987507,28.857897,,,,,,,,,,
325005137,Strada Independenței,46.981422,28.849950,,,,,,,,,,
325005139,str. Independenței,46.982132,28.851582,,,,,,,,,,
325005143,Bulevardul Traian,46.978657,28.846280,,,,,,,,,,
325005156,str. Costiujeni,46.982788,28.836920,,,,,,,,,,
325005170,Spitalul pentru copii nr.3,46.986160,28.831800,,,,,,,,,,
325005172,Policlinica Oncologică,46.989590,28.826290,,,,,,,,,,
325005177,Spitalul Oncologic,46.990017,28.825546,,,,,,,,,,
325005186,str. Dokuceaev,47.002876,28.816803,,,,,,,,,,
325005189,Telecentru,46.999050,28.808790,,,,,,,,,,
325005191,str. Gheorghe Tudor,47.004913,28.821306,,,,,,,,,,
325005194,Bd. Cuza Vodă,46.983498,28.861511,,,,,,,,,,
325005196,bd. Cuza Vodă,46.982418,28.862350,,,,,,,,,,
325005197,Str. Burebista,46.979176,28.867577,,,,,,,,,,
325005200,Str. Independenței,46.979023,28.866990,,,,,,,,,,
340052760,Grădina Publică,47.024437,28.829160,,,,,,,,,,
340052764,str. Alecu Russo,47.043220,28.860750,,,,,,,,,,
340052765,str. Miron Costin,47.049866,28.863688,,,,,,,,,,
340052766,str. Miron Costin,47.049130,28.863022,,,,,,,,,,
340052767,str. Studenților,47.058685,28.866615,,,,,,,,,,
340052768,Circul,47.036030,28.849400,,,,,,,,,,
340052769,Circ,47.036606,28.849798,,,,,,,,,,
340052772,bd. Grigore Vieru,47.028778,28.838890,,,,,,,,,,
340052773,str. Columna,47.027450,28.833542,,,,,,,,,,
340052774,str. Kiev,47.040226,28.859957,,,,,,,,,,
340052775,str. Alecu Russo,47.045480,28.862074,,,,,,,,,,
340052776,str. Nicolae Dimo,47.043190,28.867330,,,,,,,,,,
340053720,bd. Dimitrie Cantemir,47.018917,28.851656,,,,,,,,,,
340053722,Bulevardul Constantin Negruzzi,47.013670,28.853846,,,,,,,,,,
345324570,Valea Crucii,46.976707,28.870392,,,,,,,,,,
3656734117,Sângera,46.919570,28.971900,,,,,,,,,,
370413213,str. Ion Dumeniuc,47.056137,28.890846,,,,,,,,,,
370413215,str. Ion Dumeniuc,47.056973,28.891706,,,,,,,,,,
370413235,str. Igor Vieru,47.050450,28.890028,,,,,,,,,,
370413258,bd. Mircea cel Bătrân,47.037320,28.889957,,,,,,,,,,
372466319,str. Teilor,46.989765,28.852913,,,,,,,,,,
376339067,str. Socoleni,47.062176,28.845898,,,,,,,,,,
376339068,"Complexul Memorial ""Eternitate""",47.008324,28.832819,,,,,,,,,,
376339071,"Complexul Memorial ""Eternitate""",47.008694,28.833664,,,,,,,,,,
376339072,str. Ciuflea,47.013527,28.847155,,,,,,,,,,
376339075,str. Ciuflea,47.012432,28.845959,,,,,,,,,,
376339076,str. București,47.012466,28.840544,,,,,,,,,,
376339079,str. București,47.012253,28.840603,,,,,,,,,,
376339084,Metro 2,46.964250,28.890469,,,,,,,,,,
376339087,Metro 2,46.964973,28.890148,,,,,,,,,,
376339089,"Centrul Comercial ""Arizona""",46.978024,28.864523,,,,,,,,,,
376339091,"Centrul Comercial ""Arizona""",46.978092,28.863546,,,,,,,,,,
